,LSOA_Code,Class_1_status,Class_2_status,Class_3_status
0,E01000001,STB,STB,STB
1,E01000002,STB,STB,STB
2,E01000003,STB,STB,STB
3,E01000005,STB,STB,STB
4,E01000006,ASC,IUP,IUP
5,E01000007,STB,STB,STB
6,E01000008,STB,STB,STB
7,E01000009,STB,STB,STB
8,E01000010,ASC,NRW,NRW
9,E01000011,STB,STB,STB
10,E01000012,STB,STB,STB
11,E01000013,STB,STB,STB
12,E01000014,STB,STB,STB
13,E01000015,STB,STB,STB
14,E01000016,STB,STB,STB
15,E01000017,STB,STB,STB
16,E01000018,STB,STB,STB
17,E01000019,STB,STB,STB
18,E01000020,STB,STB,STB
19,E01000021,STB,STB,STB
20,E01000022,STB,STB,STB
21,E01000023,STB,STB,STB
22,E01000024,STB,STB,STB
23,E01000025,STB,STB,STB
24,E01000027,STB,STB,STB
25,E01000028,STB,STB,STB
26,E01000029,ASC,IUP,IUP
27,E01000030,STB,STB,STB
28,E01000031,STB,STB,STB
29,E01000032,ASC,IUP,IUP
30,E01000033,STB,STB,STB
31,E01000034,STB,STB,STB
32,E01000035,STB,STB,STB
33,E01000036,STB,STB,STB
34,E01000037,STB,STB,STB
35,E01000038,STB,STB,STB
36,E01000039,DEC,DEC,DEC
37,E01000040,STB,STB,STB
38,E01000041,STB,STB,STB
39,E01000042,STB,STB,STB
40,E01000043,ASC,IUP,IUP
41,E01000044,STB,STB,STB
42,E01000045,STB,STB,STB
43,E01000046,STB,STB,STB
44,E01000048,STB,STB,STB
45,E01000049,STB,STB,STB
46,E01000050,STB,STB,STB
47,E01000051,STB,STB,STB
48,E01000052,STB,STB,STB
49,E01000053,STB,STB,STB
50,E01000054,STB,STB,STB
51,E01000055,STB,STB,STB
52,E01000056,STB,STB,STB
53,E01000057,STB,STB,STB
54,E01000058,STB,STB,STB
55,E01000059,STB,STB,STB
56,E01000060,STB,STB,STB
57,E01000061,STB,STB,STB
58,E01000062,STB,STB,STB
59,E01000063,STB,STB,STB
60,E01000064,STB,STB,STB
61,E01000065,STB,STB,STB
62,E01000066,STB,STB,STB
63,E01000067,STB,STB,STB
64,E01000068,STB,STB,STB
65,E01000069,ASC,IUP,IUP
66,E01000070,STB,STB,STB
67,E01000071,STB,STB,STB
68,E01000072,STB,STB,STB
69,E01000073,STB,STB,STB
70,E01000074,STB,STB,STB
71,E01000075,STB,STB,STB
72,E01000076,STB,STB,STB
73,E01000077,STB,STB,STB
74,E01000078,STB,STB,STB
75,E01000079,STB,STB,STB
76,E01000080,STB,STB,STB
77,E01000081,STB,STB,STB
78,E01000082,STB,STB,STB
79,E01000083,STB,STB,STB
80,E01000084,STB,STB,STB
81,E01000085,STB,STB,STB
82,E01000086,STB,STB,STB
83,E01000087,STB,STB,STB
84,E01000088,STB,STB,STB
85,E01000089,STB,STB,STB
86,E01000090,STB,STB,STB
87,E01000091,STB,STB,STB
88,E01000092,ASC,IUP,IUP
89,E01000093,STB,STB,STB
90,E01000094,STB,STB,STB
91,E01000095,STB,STB,STB
92,E01000096,STB,STB,STB
93,E01000097,STB,STB,STB
94,E01000098,STB,STB,STB
95,E01000099,STB,STB,STB
96,E01000100,STB,STB,STB
97,E01000101,STB,STB,STB
98,E01000102,STB,STB,STB
99,E01000103,STB,STB,STB
100,E01000104,STB,STB,STB
