,LSOA_Code,Score_2001,Score_2011,Rank_2001,Rank_2011,Rank_chg,Z_score,score_chg,status
4,E01000006,-1.5297088015237037,0.0060227079402750405,3841.0,2827.0,1014.0,2.250639352835225,1.5357315094639787,ASC
8,E01000010,-1.607967496778501,-0.2132078084054284,4026.0,3219.0,807.0,1.7911893074339515,1.3947596883730724,ASC
26,E01000029,-1.5462106722324165,-0.31658495569676703,3887.0,3426.0,461.0,1.0232196663284407,1.2296257165356494,ASC
29,E01000032,-1.6451111067315516,-0.3312962966613636,4127.0,3455.0,672.0,1.491547973476599,1.313814810070188,ASC
40,E01000043,-1.787100232758,-0.5835957222405037,4439.0,3976.0,463.0,1.027658797201883,1.2035045105174962,ASC
65,E01000069,-1.1801673148140959,0.26402199156139683,2936.0,2425.0,511.0,1.134197938164497,1.4441893063754931,ASC
88,E01000092,-1.7965887406980088,-0.5914281931220619,4454.0,3993.0,461.0,1.0232196663284407,1.205160547575947,ASC
113,E01000117,-0.9569934320157416,0.6267110659866708,2397.0,1919.0,478.0,1.0609522787527,1.5837044980024124,ASC
126,E01000130,-1.7023699566519594,-0.4676316065165076,4261.0,3750.0,511.0,1.134197938164497,1.234738350135452,ASC
132,E01000136,1.2060593334236944,14.456525160683839,257.0,1.0,256.0,0.5682087518006091,13.250465827260143,ASC
133,E01000137,-1.1498481932280282,0.2782799387305607,2862.0,2400.0,462.0,1.025439231765162,1.4281281319585892,ASC
135,E01000139,0.02721823353195124,3.841467337000468,987.0,224.0,763.0,1.693528428218222,3.814249103468517,ASC
139,E01000143,-1.2485634179759901,5.591104747029852,3090.0,86.0,3004.0,6.667574571910273,6.8396681650058415,ASC
142,E01000146,0.951966414638744,3.7373284767501618,379.0,244.0,135.0,0.2996413339573525,2.7853620621114183,ASC
154,E01000159,-0.8483951421829886,1.2591434569871691,2185.0,1300.0,885.0,1.9643154114982,2.1075385991701583,ASC
159,E01000164,-1.3047989003632643,0.156618593033175,3250.0,2576.0,674.0,1.4959871043500412,1.4614174933964392,ASC
164,E01000169,-0.8343601426361884,0.8436120405483729,2160.0,1692.0,468.0,1.0387566243854889,1.677972183184561,ASC
171,E01000176,-1.3295757691412575,0.5709502987205786,3316.0,1978.0,1338.0,2.9697785543328714,1.9005260678618359,ASC
176,E01000181,0.15331265861971222,3.7196196742565055,868.0,251.0,617.0,1.369471874456937,3.5663070156367933,ASC
186,E01000191,-0.22188394708925074,2.0969545234755897,1250.0,740.0,510.0,1.131978372727776,2.3188384705648404,ASC
194,E01000199,0.21286716391987093,3.733137916978925,823.0,247.0,576.0,1.2784696915513707,3.5202707530590542,ASC
196,E01000201,0.5932260836295409,5.170031407443184,574.0,107.0,467.0,1.0365370589487677,4.576805323813644,ASC
202,E01000207,2.674752590397886,6.413873632395015,27.0,59.0,-32.0,-0.07102609397507614,3.739121041997129,ASC
207,E01000212,1.274574780996084,5.688677324415053,232.0,83.0,149.0,0.3307152500714483,4.414102543418969,ASC
208,E01000213,5.090985197513313,11.874851742758667,4.0,5.0,-1.0,-0.0022195654367211295,6.7838665452453535,ASC
212,E01000217,0.1635251451319701,3.2999096169013584,861.0,337.0,524.0,1.1630522888418722,3.1363844717693885,ASC
223,E01000228,-0.5413562464970161,3.8307537244536,1666.0,225.0,1441.0,3.198393794315148,4.372109970950616,ASC
244,E01000249,-0.2889194793956432,2.264171270524413,1320.0,659.0,661.0,1.4671327536726666,2.5530907499200564,ASC
262,E01000267,-0.5993143478132106,1.284924242602138,1767.0,1280.0,487.0,1.08092836768319,1.8842385904153485,ASC
264,E01000269,-0.7017802231184362,1.1727524802724998,1929.0,1366.0,563.0,1.2496153408739958,1.874532703390936,ASC
274,E01000279,1.8890274435547207,6.9808597696942005,100.0,37.0,63.0,0.13983262251343118,5.091832326139479,ASC
275,E01000280,1.1150082989828352,5.630962468983524,299.0,85.0,214.0,0.4749870034583217,4.515954170000688,ASC
281,E01000286,-1.295109350683314,0.05613352560186682,3213.0,2745.0,468.0,1.0387566243854889,1.3512428762851811,ASC
284,E01000289,-1.7729939365101686,-0.5603276983255192,4412.0,3926.0,486.0,1.078708802246469,1.2126662381846494,ASC
300,E01000305,-1.271941899260005,0.1146851238813919,3152.0,2644.0,508.0,1.1275392418543335,1.3866270231413969,ASC
303,E01000308,-1.5281367934338776,0.023921123498011787,3835.0,2797.0,1038.0,2.3039089233165324,1.5520579169318895,ASC
304,E01000309,-0.33900564112612835,2.0328204116306474,1386.0,767.0,619.0,1.3739110053303791,2.371826052756776,ASC
315,E01000320,-0.5034526093819005,1.4979010989534298,1607.0,1121.0,486.0,1.078708802246469,2.0013537083353303,ASC
321,E01000326,-1.647661458721815,-0.3411154613889273,4134.0,3479.0,655.0,1.45381536105234,1.3065459973328877,ASC
323,E01000328,-1.4535477492941198,-0.1264605395105511,3637.0,3091.0,546.0,1.2118827284497369,1.3270872097835686,ASC
361,E01000366,-1.2668295365190616,0.10081442881128737,3137.0,2674.0,463.0,1.027658797201883,1.3676439653303492,ASC
373,E01000378,-1.7627555405932829,-0.3613502156427717,4393.0,3535.0,858.0,1.904387144706729,1.4014053249505112,ASC
403,E01000409,-1.477831893088083,-0.2141305216565285,3699.0,3221.0,478.0,1.0609522787527,1.2637013714315544,ASC
411,E01000417,-1.5561748785716705,-0.24674544747575464,3905.0,3271.0,634.0,1.407204486881196,1.3094294310959158,ASC
414,E01000420,-1.5091004088410325,-0.2785888065581908,3792.0,3340.0,452.0,1.003243577397951,1.2305116022828415,ASC
430,E01000436,-1.2969062034425027,0.10971447318917266,3217.0,2651.0,566.0,1.2562740371841594,1.4066206766316751,ASC
453,E01000459,-1.179734907289686,0.2893025389650137,2934.0,2379.0,555.0,1.231858817380227,1.4690374462546998,ASC
463,E01000469,-1.7227124103402174,-0.5077658911317613,4314.0,3822.0,492.0,1.0920261948667958,1.214946519208456,ASC
479,E01000485,-1.4141930049962637,-0.04178074911479959,3538.0,2922.0,616.0,1.3672523090202158,1.3724122558814642,ASC
482,E01000488,-0.7335900656044451,1.4222293276889375,1979.0,1173.0,806.0,1.7889697419972304,2.1558193932933825,ASC
483,E01000489,-0.27490156692390505,2.11794273537412,1309.0,728.0,581.0,1.2895675187349762,2.392844302298025,ASC
485,E01000491,-0.20260921844496285,2.2231990376013213,1220.0,680.0,540.0,1.19856533582941,2.425808256046284,ASC
486,E01000492,-0.4395041558643608,2.2281841901551247,1520.0,675.0,845.0,1.8755327940293545,2.6676883460194856,ASC
487,E01000493,-0.1887527791633386,2.6250983571626394,1203.0,523.0,680.0,1.5093044969703682,2.813851136325978,ASC
504,E01000512,-0.5655023684982798,1.300792933397201,1711.0,1257.0,454.0,1.0076827082713928,1.8662953018954809,ASC
521,E01000530,-0.6678814459219506,1.2320492877915703,1881.0,1323.0,558.0,1.2385175136903903,1.8999307337135212,ASC
544,E01000555,-0.11702538869474385,2.519531900781803,1128.0,558.0,570.0,1.2651522989310438,2.636557289476547,ASC
547,E01000558,-0.2737998160699158,1.9419322952064133,1308.0,822.0,486.0,1.078708802246469,2.215732111276329,ASC
554,E01000565,-1.030220829347091,0.9967397791227742,2556.0,1536.0,1020.0,2.2639567454555523,2.026960608469865,ASC
570,E01000581,0.1006559314177833,3.6806067455287423,916.0,260.0,656.0,1.456034926489061,3.5799508141109593,ASC
571,E01000582,0.6314021032436214,4.1713416239695915,553.0,183.0,370.0,0.8212392115868179,3.5399395207259716,ASC
573,E01000584,-0.6494586268297593,1.865474634727449,1846.0,868.0,978.0,2.170734997113265,2.5149332615572084,ASC
575,E01000586,-0.9081792824120232,0.7322805336672105,2297.0,1809.0,488.0,1.0831479331199112,1.6404598160792336,ASC
617,E01000631,-1.360912048051675,0.2368188334524306,3394.0,2456.0,938.0,2.08195237964442,1.5977308815041056,ASC
652,E01000667,0.137566655819586,4.153924130506294,883.0,185.0,698.0,1.5492566748313483,4.016357474686708,ASC
685,E01000700,-1.0024471181824854,0.6073581427866039,2491.0,1936.0,555.0,1.231858817380227,1.6098052609690894,ASC
692,E01000707,-0.3827923211459092,1.8336952329526663,1439.0,892.0,547.0,1.214102293886458,2.2164875540985762,ASC
701,E01000716,-0.4705613503170724,1.8277069968084827,1562.0,899.0,663.0,1.4715718845461092,2.298268347125555,ASC
703,E01000718,-1.2181392045487405,0.2402229198706591,3025.0,2454.0,571.0,1.267371864367765,1.4583621244193996,ASC
719,E01000734,-1.3318309235334684,0.10166453598451017,3321.0,2672.0,649.0,1.4404979684320132,1.4334954595179783,ASC
733,E01000748,-0.5908227114486551,1.2876835973694112,1754.0,1277.0,477.0,1.0587327133159787,1.8785063088180665,ASC
741,E01000756,-0.21810004568070465,2.4239852652523872,1244.0,593.0,651.0,1.444937099305455,2.642085310933092,ASC
747,E01000762,-0.9388978797908112,0.7113176186297521,2356.0,1839.0,517.0,1.147515330784824,1.6502154984205633,ASC
750,E01000765,-0.7099470925827129,1.045914052911585,1948.0,1486.0,462.0,1.025439231765162,1.7558611454942978,ASC
