,LSOA11CD,SEC1_chg,SEC2_chg,SEC3_chg,SEC4_chg,SEC5_chg,SEC6_chg,SEC7_chg,hseP_chg,inc_chg,owned_chg,socRent_chg,pteRent_chg,inc_01,hseP_01
0,E01000001,3.87,6.84,1.77,1.15,0.14,0.58,-0.11,102.5066823,43.58974359,-9.59,-0.46999999999999986,5.720000000000001,45.63,245.424
1,E01000002,5.28,2.11,2.5,0.77,0.3,-0.77,0.27,125.0,47.43162108,-8.96,-3.2600000000000002,8.52,44.97,235.0
2,E01000003,3.29,4.69,-2.0,2.02,-0.03,-0.39,1.37,76.31578947,49.02284613,-0.3099999999999996,-5.12,3.2300000000000004,36.33,190.0
3,E01000005,0.24,4.69,0.92,3.2,2.14,1.67,2.64,118.1818182,48.23977165,1.13,-4.99,2.1500000000000004,31.53,137.5
4,E01000006,1.49,-3.7,-2.51,7.87,-1.49,0.55,0.88,287.5,44.91654021,-12.34,-7.46,20.720000000000002,26.36,60.0
5,E01000007,1.79,0.91,-0.03,5.21,-3.7,3.69,-2.59,67.44631087,47.64679516,-6.39,-21.25,24.040000000000003,22.31,75.248
6,E01000008,0.07,-2.57,-2.11,1.92,-1.89,0.72,0.36,144.62809919999995,42.79872785,-2.0,-5.91,7.16,22.01,60.5
7,E01000009,-0.25,-1.06,1.69,1.45,0.01,2.79,0.99,128.5756419,40.86365454,-16.58,-6.08,21.9,25.01,108.498
8,E01000010,6.75,3.19,-0.81,1.76,-2.5,-1.5,-1.64,58.88888889,54.74934037,-16.119999999999997,-16.43,30.97,22.74,90.0
9,E01000011,0.27,-3.98,0.22,3.93,-1.56,-0.78,1.83,103.8095238,44.64285714,-15.7,-8.68,20.209999999999997,24.08,105.0
10,E01000012,-1.6,-0.97,-5.18,5.89,-2.45,1.55,3.41,109.0909091,41.75409148,-16.15,-1.7299999999999986,17.22,23.83,55.0
11,E01000013,0.57,2.31,-1.21,6.25,-0.09,4.57,2.03,107.7419355,47.64234875,-14.51,3.04,10.860000000000001,22.48,77.5
12,E01000014,1.61,0.75,2.77,3.49,-1.65,2.29,3.91,125.3424658,42.95039164,-4.42,-7.97,11.6,22.98,73.0
13,E01000015,0.1,3.6,1.12,4.69,-2.24,-0.93,1.59,93.58974359,45.17857143,-17.5,-10.32,21.130000000000003,22.4,78.0
14,E01000016,0.44,3.31,0.3,3.33,-1.04,4.76,3.99,114.3846898,47.37762238,-7.34,-1.62,8.31,22.88,76.498
15,E01000017,2.32,2.76,1.98,4.41,-0.7,-1.13,1.86,124.9190939,47.59358289,-2.74,-4.93,7.47,22.44,77.25
16,E01000018,1.8,2.57,2.17,2.85,-0.45,0.49,2.98,92.19219219,47.702407,-5.24,-1.8100000000000003,6.05,22.85,83.25
17,E01000019,-0.83,-1.66,5.56,4.32,-1.76,0.91,1.95,137.5,44.33121019,-6.890000000000001,-3.42,9.31,23.55,80.0
18,E01000020,-0.75,3.65,0.69,4.35,-2.6,0.04,3.19,122.2222222,48.972453,-4.77,-2.9200000000000004,4.9399999999999995,22.87,81.0
19,E01000021,0.19,-2.29,0.3,3.53,-1.22,1.06,3.6,107.5471698,35.27918782,-14.799999999999999,-0.2100000000000002,11.440000000000001,23.64,79.5
20,E01000022,-0.92,-0.65,1.73,4.68,1.19,2.38,0.12,130.0153344,43.08267553,-10.350000000000001,0.07,6.97,24.07,74.995
21,E01000023,2.37,8.89,2.26,7.68,2.02,8.64,5.75,168.6273063,40.39328144,-5.43,-8.32,11.440000000000001,24.41,67.75
22,E01000024,0.25,-0.19,0.12,4.98,-0.58,5.63,1.3,130.7692308,42.59805989,-7.41,-2.96,9.45,23.71,78.0
23,E01000025,1.82,2.67,2.08,4.39,-0.68,3.02,0.18,153.33333330000005,46.08733247,-5.109999999999999,-3.5999999999999996,8.35,23.13,75.0
24,E01000027,2.94,2.47,4.72,5.04,-1.06,6.04,1.57,100.0044445,50.71329959,-2.9499999999999997,-1.37,2.9299999999999997,21.73,89.998
25,E01000028,-0.7,0.61,3.7,3.4,-1.48,5.02,3.39,69.64689635,40.80638015,-5.07,-3.5,4.799999999999999,22.57,83.998
26,E01000029,1.46,1.7,4.11,4.54,0.2,3.37,1.44,127.4418605,36.27300613,-1.0099999999999998,-2.3,2.83,26.08,107.5
27,E01000030,1.5,2.61,0.65,3.96,-3.15,6.77,1.89,168.90756299999995,46.00917431,-5.68,0.27,4.67,21.8,59.5
28,E01000031,3.32,-1.03,0.14,1.74,-0.39,5.06,1.84,50.85470085,36.1041741,-9.690000000000001,0.29999999999999993,8.370000000000001,28.03,117.0
29,E01000032,2.98,0.76,6.13,2.69,-1.93,1.16,-0.13,132.83582090000002,41.5787417,-7.49,-3.33,10.01,25.59,100.5
30,E01000033,-0.09,2.29,1.15,4.29,-2.4,1.71,2.18,100.0,45.01289768,-2.9400000000000004,-0.6399999999999997,3.38,23.26,82.5
31,E01000034,1.84,0.35,6.03,3.97,-2.46,0.87,2.45,69.81132075,43.08238076,-2.8899999999999997,-1.56,4.51,25.37,106.0
32,E01000035,-0.04,2.23,2.1,4.23,-2.77,0.35,1.11,114.0625,43.2922128,-7.209999999999999,-0.25,6.05,25.94,96.0
33,E01000036,-0.21,3.47,0.09,4.51,-1.62,1.56,-1.13,104.7619048,47.2998851,-7.6899999999999995,-1.7399999999999998,9.0,26.11,84.0
34,E01000037,0.05,-2.31,2.63,2.51,1.64,0.18,2.08,84.83412322,41.54437456,-1.0800000000000003,-2.8099999999999996,3.03,28.62,105.5
35,E01000038,0.69,0.46,3.45,3.31,-0.87,4.24,3.59,93.48667333,40.57121933,-1.8200000000000003,-1.45,3.23,27.31,114.995
36,E01000039,-0.25,-1.68,2.49,3.1,0.64,2.7,2.92,71.56862745,31.4701897,-8.14,-1.14,8.37,29.52,102.0
37,E01000040,0.84,2.77,1.65,3.62,1.33,2.72,0.76,140.39087949999998,53.35769758,-0.77,-7.38,8.32,21.89,76.75
38,E01000041,2.12,3.33,-0.31,4.42,-2.63,1.17,1.18,116.5562914,47.83759929,-5.49,-3.6599999999999997,8.649999999999999,22.66,75.5
39,E01000042,0.68,2.43,-0.19,3.59,-0.14,2.03,2.02,144.8036952,44.51410658,-10.95,-4.59,13.92,22.33,64.95
40,E01000043,0.44,-3.87,1.47,3.71,-1.83,3.02,3.8,152.9216815,43.35139642,-3.1,-6.46,9.260000000000002,23.99,85.995
41,E01000044,-0.03,-7.49,0.76,6.02,-1.61,2.56,2.78,124.3589744,38.54289072,-13.870000000000001,-1.25,14.010000000000002,25.53,78.0
42,E01000045,2.04,2.06,-1.52,2.45,-0.48,4.06,1.35,105.92105259999998,47.63762462,-11.559999999999999,-3.35,14.07,23.07,76.0
43,E01000046,-0.05,-1.26,0.65,5.37,-0.24,3.42,0.04,103.021148,41.18651302,-7.94,-2.3999999999999995,10.360000000000001,23.43,82.75
44,E01000048,-0.83,-1.85,2.25,2.45,-3.17,0.49,2.27,134.86735349999998,49.18205805,-4.52,-0.97,5.04,18.95,52.998
45,E01000049,-1.04,1.12,0.33,2.99,-1.73,-0.24,2.0,83.28673501,49.72513743,1.26,-7.58,4.47,20.01,80.475
46,E01000050,0.89,-0.1,-0.12,4.77,-1.07,-0.2,2.5,156.4619,44.59945995,-10.969999999999999,0.75,9.09,22.22,74.475
47,E01000051,0.04,-1.21,-0.44,2.26,0.28,1.64,-0.49,160.2168474,47.83966684,0.7799999999999999,-8.84,3.16,19.21,59.95
48,E01000052,-0.76,-2.41,1.26,5.85,-1.17,0.77,2.54,109.5069308,39.66552316,-13.23,-1.05,13.49,23.32,78.995
49,E01000053,0.16,0.22,-0.31,5.48,-2.01,3.44,2.49,141.66666669999995,38.2045929,-15.19,2.01,13.34,23.95,60.0
50,E01000054,0.95,2.18,3.57,2.41,-0.01,2.59,1.44,119.9974194,51.86170213,-7.74,-2.6700000000000004,9.47,22.56,77.5
51,E01000055,0.98,0.43,0.98,5.4,-2.19,3.54,2.03,115.7894737,50.10969724,-3.59,-7.62,9.75,22.79,76.0
52,E01000056,-0.51,1.66,2.23,2.4,-3.72,1.92,5.17,106.57894740000002,47.15588363,-8.44,-5.2700000000000005,11.86,23.03,76.0
53,E01000057,0.13,2.83,2.91,3.13,-1.03,1.17,-0.11,118.5430464,49.5154185,-9.4,-3.2799999999999994,6.7299999999999995,22.7,75.5
54,E01000058,1.18,6.06,1.79,4.24,-2.65,-1.79,1.0,121.5189873,58.33716123,-7.489999999999999,-10.729999999999999,11.54,21.77,79.0
