,LSOA11CD,PCA_score_nbr
0,E01000001,10.765543263
1,E01000002,7.136679321000001
2,E01000003,11.481815631
3,E01000005,10.364784364
4,E01000006,-6.934788887000001
5,E01000007,-8.283860342
6,E01000008,-13.336011613
7,E01000009,-11.102832751
8,E01000010,-14.875631856999998
9,E01000011,-8.053677658
10,E01000012,-11.062967369999999
11,E01000013,-11.744727351999998
12,E01000014,-19.352974397999997
13,E01000015,-18.561742109999997
14,E01000016,-18.058883819
15,E01000017,-12.521003069999999
16,E01000018,-9.248846789
17,E01000019,-8.706037012
18,E01000020,-14.186623111000001
19,E01000021,-11.46570343
20,E01000022,-9.409796658
21,E01000023,-10.953478794999999
22,E01000024,-13.311205618999999
23,E01000025,-13.434822291
24,E01000027,-13.351664870000002
25,E01000028,-6.463588068
26,E01000029,-12.589671894000002
27,E01000030,-7.067136297999999
28,E01000031,-17.537160256000003
29,E01000032,-15.753243938
30,E01000033,-8.931457414999999
31,E01000034,-15.572347602
32,E01000035,-13.996341037999999
33,E01000036,-14.696112739
34,E01000037,-10.000163417
35,E01000038,-12.034418883999999
36,E01000039,-17.804180577
37,E01000040,-8.941251102
38,E01000041,-12.817473991
39,E01000042,-14.046492388
40,E01000043,-14.389572397999999
41,E01000044,-14.576678619
42,E01000045,-14.472980945
43,E01000046,-15.024702184000002
44,E01000048,-6.979061051
45,E01000049,-10.84077762
46,E01000050,-11.221327225
47,E01000051,-7.488988824
48,E01000052,-12.321852917000001
49,E01000053,-11.246011041
50,E01000054,-14.138919469000001
51,E01000055,-11.192356606
52,E01000056,-9.367918259
53,E01000057,-14.963330573
54,E01000058,-12.891333548
55,E01000059,-13.54524536
56,E01000060,-17.431604101999998
57,E01000061,-13.370962337
58,E01000062,-12.026122395000002
59,E01000063,-13.767906275
60,E01000064,-11.981395224
61,E01000065,-11.25468493
62,E01000066,-13.419710436
63,E01000067,-7.990495799
64,E01000068,-8.927713836999999
65,E01000069,-6.953934965
66,E01000070,-10.618918945
67,E01000071,-18.076342521
68,E01000072,-14.777005174
69,E01000073,-12.788303005000001
70,E01000074,-11.580572499999999
71,E01000075,-17.843500726
72,E01000076,-17.338679814
73,E01000077,-15.663029159999997
74,E01000078,-14.324447722
75,E01000079,-11.346644569
76,E01000080,-11.859419668
77,E01000081,-14.027414688
78,E01000082,-14.353696310000002
79,E01000083,-12.030237506
80,E01000084,-16.222122887
81,E01000085,-11.48152794
82,E01000086,-11.625303203000001
83,E01000087,-14.596576328999998
84,E01000088,-15.299574658000001
85,E01000089,-7.321557089000001
86,E01000090,-16.037125266
87,E01000091,-8.574725264
88,E01000092,-13.448081103
89,E01000093,-13.624287914000002
90,E01000094,-8.911021141
91,E01000095,-21.394450648
92,E01000096,-17.955678925999997
93,E01000097,-9.237300481
94,E01000098,-14.428828232
95,E01000099,-14.554966554
96,E01000100,-13.944090485
97,E01000101,-11.715318884999999
98,E01000102,-16.432235667
99,E01000103,-17.458857147999996
