,LSOA11CD,PCA_score_nbr
0,E01000001,0.1839104620000001
1,E01000002,1.5971658980000005
2,E01000003,0.36999507100000023
3,E01000005,-3.5522492260000003
4,E01000006,-7.193625414
5,E01000007,-9.378165783
6,E01000008,-13.736928797000001
7,E01000009,-10.543859268999999
8,E01000010,-16.280890971
9,E01000011,-8.651959897
10,E01000012,-8.749243877000001
11,E01000013,-10.670318158
12,E01000014,-16.504722237
13,E01000015,-14.072791578999999
14,E01000016,-16.252446782999996
15,E01000017,-10.220898432999999
16,E01000018,-8.548571677
17,E01000019,-6.796136303999999
18,E01000020,-11.035435031999999
19,E01000021,-10.185767015
20,E01000022,-5.970225544
21,E01000023,-7.85208783
22,E01000024,-10.218653666999998
23,E01000025,-11.193230708999998
24,E01000027,-2.802830608
25,E01000028,0.44748689399999986
26,E01000029,0.012528142999999714
27,E01000030,-5.751844323
28,E01000031,-14.032356953
29,E01000032,-8.49934181
30,E01000033,-7.364109997
31,E01000034,-13.229869159
32,E01000035,-12.358069484
33,E01000036,-10.613537503
34,E01000037,-9.155384656
35,E01000038,-10.922180397999998
36,E01000039,-14.184150433000001
37,E01000040,-8.121415878
38,E01000041,-10.673174667999998
39,E01000042,-12.487593667999999
40,E01000043,-12.567751787999999
41,E01000044,-15.367072726000002
42,E01000045,-13.19883688
43,E01000046,-13.087681219
44,E01000048,-8.650959958000001
45,E01000049,-10.681769291000002
46,E01000050,-12.973910606
47,E01000051,-8.496418941
48,E01000052,-12.576240254999998
49,E01000053,-10.532522967
50,E01000054,-12.754609992999999
51,E01000055,-10.29833084
52,E01000056,-7.561571174999999
53,E01000057,-12.770578689
54,E01000058,-12.865561636
55,E01000059,-12.502781986
56,E01000060,-16.420626832
57,E01000061,-10.466596965
58,E01000062,-10.298392
59,E01000063,-12.237908252
60,E01000064,-10.132261943
61,E01000065,-10.34503356
62,E01000066,-10.301347144
63,E01000067,-5.136851743
64,E01000068,-9.159780169
65,E01000069,-5.240100909
66,E01000070,-9.060935982
67,E01000071,-15.13282297
68,E01000072,-11.337936814999999
69,E01000073,-11.132311073
70,E01000074,-10.308677921
