,LSOA11CD,PCA_scores_11_nbr
0,E01000001,11.841484419
1,E01000002,8.827107368
2,E01000003,12.152155448
3,E01000005,7.999081841000001
4,E01000006,-5.566357967
5,E01000007,-8.094474164000001
6,E01000008,-12.669256244999998
7,E01000009,-8.676920863
8,E01000010,-14.481379985
9,E01000011,-8.156922195
10,E01000012,-9.61315233
11,E01000013,-10.511376611
12,E01000014,-16.861015145000003
13,E01000015,-16.328432767000002
14,E01000016,-16.57202577
15,E01000017,-10.981677091000002
16,E01000018,-8.323632592
17,E01000019,-8.438166786
18,E01000020,-12.256410609
19,E01000021,-10.324962356
20,E01000022,-7.996359578
21,E01000023,-9.103262849
22,E01000024,-12.319063760000002
23,E01000025,-12.025533648
24,E01000027,-13.650888402
25,E01000028,-6.816674058
26,E01000029,-12.156098228
27,E01000030,-8.030522946
28,E01000031,-18.418058281999997
29,E01000032,-14.437249361
30,E01000033,-7.90196751
31,E01000034,-14.496122313
32,E01000035,-13.235522332
33,E01000036,-13.404052781
34,E01000037,-10.865137624000003
35,E01000038,-12.529805595
36,E01000039,-17.562377155
37,E01000040,-6.724470245000001
38,E01000041,-11.205395238
39,E01000042,-12.722213410999998
40,E01000043,-11.803018362000001
41,E01000044,-13.277436379
42,E01000045,-12.248543726000001
43,E01000046,-13.362228105
44,E01000048,-6.661341463
45,E01000049,-8.984686379
46,E01000050,-10.403154592
47,E01000051,-7.274469347
48,E01000052,-10.168747118
49,E01000053,-10.764171624
50,E01000054,-13.172534402
51,E01000055,-10.512624439
52,E01000056,-9.069301787
53,E01000057,-13.153771459
54,E01000058,-12.710921014000002
55,E01000059,-13.163949241000001
56,E01000060,-16.684694252
57,E01000061,-13.052648836000001
58,E01000062,-10.860464042000002
59,E01000063,-13.535628679999999
60,E01000064,-10.459394528
61,E01000065,-11.452965155000001
62,E01000066,-10.966864339
63,E01000067,-6.755142983999999
64,E01000068,-7.119970504
65,E01000069,-5.3594543869999995
66,E01000070,-8.856936637
67,E01000071,-14.137406666
68,E01000072,-11.680961538000002
69,E01000073,-12.184722456000001
70,E01000074,-10.170993625000001
71,E01000075,-17.078616372
72,E01000076,-15.931996169999998
73,E01000077,-14.133345456
74,E01000078,-13.176078846000003
75,E01000079,-10.520105831
76,E01000080,-10.947234439
77,E01000081,-13.017703219
78,E01000082,-13.628953682000002
79,E01000083,-10.697343129
80,E01000084,-14.672631321
81,E01000085,-10.021118301
82,E01000086,-10.585159836999999
83,E01000087,-12.336093110999999
84,E01000088,-12.191174606999997
85,E01000089,-5.466764661
86,E01000090,-14.222741924
87,E01000091,-7.437872421000001
88,E01000092,-11.676208256999999
89,E01000093,-12.058425186999997
90,E01000094,-7.761891426
91,E01000095,-18.627214625999997
92,E01000096,-15.272025320000001
93,E01000097,-8.826912552
94,E01000098,-12.173082811
95,E01000099,-12.749443639
96,E01000100,-13.200534426
97,E01000101,-11.178242895
98,E01000102,-15.400737421
99,E01000103,-15.410192242000003
100,E01000104,-16.305866808
101,E01000105,-14.451415273
102,E01000106,-11.164763785999998
103,E01000107,-11.819538402
104,E01000108,-11.859402531999999
105,E01000109,-13.520110949
106,E01000110,-9.046090243
107,E01000111,-10.555887241
108,E01000112,-18.232923417000002
109,E01000113,-8.478386848
110,E01000114,-12.434994667
111,E01000115,-0.69893114
112,E01000116,1.028268342
113,E01000117,2.290410021
114,E01000118,-2.086293359
115,E01000119,2.10563145
116,E01000120,-0.025193452000000338
117,E01000121,-0.571600382
118,E01000122,0.994776807
119,E01000123,-2.564342582
120,E01000124,0.1366187550000002
121,E01000125,-8.31907266
122,E01000126,-6.554919517
123,E01000127,-5.393382193
124,E01000128,-3.834975463
125,E01000129,-8.165110761
126,E01000130,-7.9123779679999995
127,E01000131,-7.067707841
128,E01000132,-6.093358132
129,E01000133,-3.721477609
130,E01000134,-4.264844833
131,E01000135,25.53733111
132,E01000136,40.126608427
133,E01000137,9.092073079
134,E01000138,6.5029650740000005
135,E01000139,18.306642505
136,E01000140,29.069494087000002
137,E01000141,4.9270281009999985
138,E01000142,10.730676772
139,E01000143,7.569188592000001
140,E01000144,21.597810845
141,E01000145,7.282072171000001
142,E01000146,20.068562085000003
143,E01000147,-2.2906684950000002
144,E01000148,-5.059638532
145,E01000150,-1.3268861310000002
146,E01000151,-3.256856313
147,E01000152,-2.463189989
148,E01000153,-5.900672002
149,E01000154,-4.635896958
150,E01000155,-5.414768452000001
151,E01000156,6.305387185
152,E01000157,4.535691572
153,E01000158,0.37483100999999996
154,E01000159,3.468361461
155,E01000160,-1.1937694139999997
156,E01000161,2.451130088
157,E01000162,-0.15592202900000002
158,E01000163,1.5598030330000001
159,E01000164,-2.8650206799999998
160,E01000165,-0.4614109599999997
161,E01000166,12.070952041000002
162,E01000167,5.802922678000001
163,E01000168,-0.846367391
164,E01000169,-2.24586898
