,LSOA11CD,PCA_scores_11_nbr
0,E01000001,-1.6591781509999999
1,E01000002,0.6455837739999997
2,E01000003,-2.143174471
3,E01000005,-5.822874039
4,E01000006,-7.908192846
5,E01000007,-9.774879521999999
6,E01000008,-14.649132586
7,E01000009,-11.405619442
8,E01000010,-16.323875108
9,E01000011,-9.205805671
10,E01000012,-12.084263053
11,E01000013,-10.398443821999999
12,E01000014,-16.438138396
13,E01000015,-13.815049140000001
14,E01000016,-16.256227098
15,E01000017,-10.124240282
16,E01000018,-8.076301228
17,E01000019,-8.113419683
18,E01000020,-10.923547634000002
19,E01000021,-12.601888128
20,E01000022,-7.469191325999999
21,E01000023,-10.515308395999998
22,E01000024,-11.181125673
23,E01000025,-12.135197362
24,E01000027,-5.843523399
25,E01000028,-2.5067616459999993
26,E01000029,-4.017433477000001
27,E01000030,-6.6383175009999995
28,E01000031,-14.826335741000001
29,E01000032,-10.801138274
30,E01000033,-7.8099660680000005
31,E01000034,-13.740920081999999
32,E01000035,-11.036541249999999
33,E01000036,-11.255708322
34,E01000037,-8.439918462000001
35,E01000038,-11.334423736999998
36,E01000039,-14.360548914
37,E01000040,-7.989213444000001
38,E01000041,-10.22544085
39,E01000042,-12.205081821
40,E01000043,-11.478233422000002
41,E01000044,-16.093757642
42,E01000045,-11.488976740999998
43,E01000046,-12.388620594999999
44,E01000048,-8.418068690000002
45,E01000049,-10.612535310999998
46,E01000050,-12.733830165
47,E01000051,-8.273253320000002
48,E01000052,-11.772165316999999
49,E01000053,-10.43847981
50,E01000054,-12.817838839999999
51,E01000055,-10.729291308
52,E01000056,-8.461053589999999
53,E01000057,-12.788956871000002
54,E01000058,-12.759427015
55,E01000059,-12.356945418000002
56,E01000060,-14.675201856
57,E01000061,-10.78639977
58,E01000062,-9.793223246
59,E01000063,-11.913629828999998
60,E01000064,-9.783246033000001
61,E01000065,-10.086596878999998
62,E01000066,-13.449954585999999
63,E01000067,-8.457216986
64,E01000068,-10.926208662
65,E01000069,-7.35308803
66,E01000070,-12.227760604000002
67,E01000071,-17.356105559000003
68,E01000072,-11.603118417
69,E01000073,-12.066092171
70,E01000074,-10.167166888
71,E01000075,-16.837710184000002
72,E01000076,-14.403339206999998
73,E01000077,-14.230426209000003
74,E01000078,-11.812597807
75,E01000079,-10.375894896
76,E01000080,-10.583132957
77,E01000081,-12.475236349
78,E01000082,-11.209647218
79,E01000083,-9.553967257
80,E01000084,-13.490126684000002
81,E01000085,-10.357977579
82,E01000086,-9.417426846000001
83,E01000087,-10.627183706999999
84,E01000088,-11.381791504
85,E01000089,-5.850642237000001
86,E01000090,-14.391941750999997
87,E01000091,-7.344084003
88,E01000092,-11.966322236999998
89,E01000093,-12.615208093
90,E01000094,-8.490863868999998
91,E01000095,-18.407321426
92,E01000096,-13.790825992
93,E01000097,-6.140504856
94,E01000098,-9.641807076
95,E01000099,-10.137840468
96,E01000100,-11.477333536
97,E01000101,-9.12853085
98,E01000102,-13.001097097
99,E01000103,-14.412251293999999
100,E01000104,-13.720248889999999
101,E01000105,-13.667696830999999
102,E01000106,-10.391271487000001
103,E01000107,-9.836746603
104,E01000108,-10.348215473
105,E01000109,-10.446328833
106,E01000110,-6.905859428
107,E01000111,-8.523258368
108,E01000112,-15.126798229
109,E01000113,-5.278921981000001
110,E01000114,-12.396498727
111,E01000115,28.662730396999997
112,E01000116,27.379225404
113,E01000117,20.936682498
114,E01000118,17.502130696
115,E01000119,29.034117695999996
116,E01000120,19.377790639
117,E01000121,15.822752474
118,E01000122,11.496281911999999
119,E01000123,9.091970829
120,E01000124,6.159899635999999
121,E01000125,8.268655658
122,E01000126,-5.060450792
123,E01000127,-4.1793761179999995
124,E01000128,-2.51374204
125,E01000129,-11.232796808999998
126,E01000130,-5.690162169
127,E01000131,-6.239749611999999
128,E01000132,2.9037995709999995
129,E01000133,2.3088818799999995
130,E01000134,-2.352554096
131,E01000135,152.790551393
132,E01000136,187.47445332
133,E01000137,74.279026751
134,E01000138,66.546304748
135,E01000139,66.146733783
136,E01000140,120.44662533300001
137,E01000141,6.707915551999999
138,E01000142,40.403875263
139,E01000143,40.29373063
140,E01000144,268.8295455
141,E01000145,166.42458020899997
142,E01000146,123.2717851
143,E01000147,-3.0024315809999997
144,E01000148,-6.912882831
145,E01000150,22.752839706
146,E01000151,-2.360424504
147,E01000152,21.420117194999996
148,E01000153,1.1816571769999995
149,E01000154,-1.1322552680000002
150,E01000155,-2.3400794859999996
151,E01000156,14.525250975
152,E01000157,8.68045361
153,E01000158,10.995447730999999
154,E01000159,34.656729004
155,E01000160,11.77379895
156,E01000161,17.425658804
157,E01000162,13.247510067
158,E01000163,8.787256420999999
159,E01000164,13.085696731000002
160,E01000165,14.212849579
161,E01000166,52.859041278999996
162,E01000167,28.773510969
163,E01000168,32.617804011000004
164,E01000169,18.14514917
165,E01000170,29.508408971
166,E01000171,40.550203647000004
167,E01000172,54.479344801
168,E01000173,14.302620717000002
169,E01000174,20.648056718000003
170,E01000175,49.294219134
171,E01000176,109.43784659199997
172,E01000177,55.806925792
173,E01000178,42.59577847
174,E01000179,39.455232144
175,E01000180,90.663094273
176,E01000181,84.59373811900001
177,E01000182,89.65777109
178,E01000183,112.67366299899999
179,E01000184,22.583299597
180,E01000185,20.163148375
181,E01000186,236.22834283
182,E01000187,155.65180213899998
183,E01000188,240.998284292
184,E01000189,219.95407297
185,E01000190,158.74096382300002
186,E01000191,235.214103473
187,E01000192,225.54688317999998
188,E01000193,189.03480774
189,E01000194,155.67396116000003
190,E01000195,179.62685706200003
191,E01000196,153.37427771
192,E01000197,170.55158400899998
193,E01000198,268.57563921999997
194,E01000199,145.10664948000002
195,E01000200,193.80823299000002
196,E01000201,262.11607261
197,E01000202,150.41173709
198,E01000203,278.36732695
199,E01000204,104.317587852
200,E01000205,169.77109258000002
201,E01000206,323.618960001
202,E01000207,277.46852292
203,E01000208,241.54572971400003
204,E01000209,147.45905625999998
205,E01000210,264.227302711
206,E01000211,320.19512863
207,E01000212,253.19244465999998
208,E01000213,189.46408085
209,E01000214,179.59004509000002
210,E01000215,423.61704999
211,E01000216,257.03141724
212,E01000217,199.98249033000002
213,E01000218,265.05103132
214,E01000219,254.71992750999996
215,E01000220,144.73916506999998
216,E01000221,136.520355042
217,E01000222,87.499718793
218,E01000223,5.6645987889999985
219,E01000224,13.142468435000001
220,E01000225,331.87141849000005
221,E01000226,59.466856195999995
222,E01000227,154.392924958
223,E01000228,198.83428671200002
224,E01000229,85.669025651
225,E01000230,218.075309189
226,E01000231,89.70456704899999
227,E01000232,162.395814522
228,E01000233,86.063352607
229,E01000234,78.181424319
230,E01000235,112.308989957
231,E01000236,290.34070694
232,E01000237,284.7416201
233,E01000238,342.74104869
234,E01000239,90.683540709
235,E01000240,124.18231307900001
236,E01000241,148.82348720000002
237,E01000242,150.8067138
238,E01000243,160.52633665
239,E01000244,147.75861201
240,E01000245,128.08810355
241,E01000246,32.700547383
242,E01000247,13.108711698
243,E01000248,19.345046456
244,E01000249,30.210394726000004
245,E01000250,14.891334684
246,E01000251,12.211372976
247,E01000252,15.999555757000001
248,E01000253,12.335936945
249,E01000254,25.741414973999998
250,E01000255,152.01227164300002
251,E01000256,53.43042817
252,E01000257,59.629344603999996
253,E01000258,152.967301569
254,E01000259,155.50343513199996
255,E01000260,132.570888279
256,E01000261,136.66713015
257,E01000262,118.329572269
258,E01000263,90.05112752
259,E01000264,157.184907291
260,E01000265,12.637911341999999
261,E01000266,39.668877799
262,E01000267,47.129165812000004
263,E01000268,28.670860851000004
264,E01000269,53.660945387
265,E01000270,37.350698174
266,E01000271,81.662586284
267,E01000272,37.871197733
268,E01000273,53.172347496
269,E01000274,42.061912851
270,E01000275,83.92784552
