2011 census lower super output areas,2011 super output area - lower layer_x,Local_authority_name,Pop_2011,Median_House_Prices_2011,Median_income_2011,Age 0 to 4_pct,Age 5 to 7_pct,Age 8 to 9_pct,Age 10 to 14_pct,Age 15_pct,Age 16 to 17_pct,Age 18 to 19_pct,Age 20 to 24_pct,Age 25 to 29_pct,Age 30 to 44_pct,Age 45 to 59_pct,Age 60 to 64_pct,Age 65 to 74_pct,Age 75 to 84_pct,Age 85 to 89_pct,Age 90 and over_pct,One person household: Aged 65 and over_pct,One person household: Other_pct,One family only: All aged 65 and over_pct,One family only: Married or same-sex civil partnership couple: No children_pct,One family only: Married or same-sex civil partnership couple: Dependent children_pct,One family only: Married or same-sex civil partnership couple: All children non-dependent_pct,One family only: Cohabiting couple: No children_pct,One family only: Cohabiting couple: Dependent children_pct,One family only: Cohabiting couple: All children non-dependent_pct,One family only: Lone parent: Dependent children_pct,One family only: Lone parent: All children non-dependent_pct,Other household types: With dependent children_pct,Other household types: All full-time students_pct,Other household types: All aged 65 and over_pct,Other household types: Other_pct,Occupancy rating (rooms) of -1 or less_pct,Does have central heating_pct,Average household size,Average number of rooms per household,Owned: Owned outright_pct,Owned: Owned with a mortgage or loan_pct,Shared ownership (part owned and part rented)_pct,Social rented: Rented from council (Local Authority)_pct,Social rented: Other_pct,Private rented: Private landlord or letting agency_pct,Private rented: Other_pct,Household spaces with at least one usual resident_pct,Whole house or bungalow: Detached_pct,Whole house or bungalow: Semi-detached_pct,Whole house or bungalow: Terraced (including end-terrace)_pct,"Flat, maisonette or apartment: Purpose-built block of flats or tenement_pct","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)_pct","Flat, maisonette or apartment: In a commercial building_pct","1. Managers, directors and senior officials_pct",2. Professional occupations_pct,3. Associate professional and technical occupations_pct,4. Administrative and secretarial occupations_pct,5. Skilled trades occupations_pct,"6. Caring, leisure and other service occupations_pct",7. Sales and customer service occupations_pct,8. Process plant and machine operatives_pct,9. Elementary occupations_pct,Economically active_pct,X1_Higher_managerial_administrative_and_professional_occupations_2011_pct,X2_Lower_managerial_administrative_and_professional_occupations_2011_pct,X3_Intermediate_occupations_2011_pct,X4_Small_employers_and_own_account_workers_2011_pct,X5_Lower_supervisory_and_technical_occupations_2011_pct,X6_Semi_routine_occupations_2011_pct,X7_Routine_occupations_2011_pct,X8_Never_worked_and_long_term_unemployed_2011_pct,Not_classified_2011_pct,No cars or vans in household_pct,1 car or van in household_pct,2 cars or vans in household_pct,3 cars or vans in household_pct,4 or more cars or vans in household_pct,Europe: United Kingdom: Total,Europe: Ireland,Europe: Other Europe: EU Countries: Total,Europe: Other Europe: Rest of Europe: Total,Africa: Total,Middle East and Asia: Total,The Americas and the Caribbean: North America and The Caribbeans: Total,The Americas and the Caribbean: South America,Antarctica and Oceania: Total,White_pct,Mixed/multiple ethnic groups_pct,Asian/Asian British_pct,Black/African/Caribbean/Black British_pct,dwellings_2011,Median House Price 2016,House_sales_pct,Christian_pct,Buddhist_pct,Hindu_pct,Jewish_pct,Muslim_pct,Sikh_pct,Other religion_pct,No religion_pct,Religion not stated_pct,Males: Part-time: 15 hours or less worked,Males: Part-time: 16 to 30 hours worked,Males: Full-time: 31 to 48 hours worked,Males: Full-time: 49 or more hours worked,Females: Part-time: 15 hours or less worked,Females: Part-time: 16 to 30 hours worked,Females: Full-time: 31 to 48 hours worked,Females: Full-time: 49 or more hours worked,Work mainly at or from home_pct,"Underground, metro, light rail, tram_pct",Train_pct,"Bus, minibus or coach_pct",Taxi_pct,"Motorcycle, scooter or moped_pct",Driving a car or van_pct,Passenger in a car or van_pct,Bicycle_pct,On foot_pct,Other method of travel to work_pct,Density (number of persons per hectare),No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications
E01000001,City of London 001A,City of London,1465,497000,65520,3.41,1.3,0.96,1.77,0.41,0.48,0.41,4.3,9.56,25.87,24.51,8.74,9.49,7.03,1.3,0.48,13.7,38.01,5.82,15.53,6.85,1.83,7.42,0.8,0,1.03,1.6,0.46,0.34,0,6.62,25.91,98.86,1.7,3.6,40.53,20.32,0.34,3.77,0.91,28.2,1.94,86.56,0,0.2,0.89,95.55,1.28,2.08,18.03,48.16,22.46,5.72,1.62,1.84,0.65,0.22,1.3,78.95,43.41,35.14,5.98,5.57,0.98,2.05,0.66,1.72,4.5,59.2,32.5,6.1,1.7,0.5,67.30375427,1.365187713,8.873720137,1.911262799,2.866894198,8.805460751,4.027303754,0.819112628,3.61774744,84.5,3.7,8.7,0.8,1012,975000,4.034914361,43.5,1.4,2.7,3.1,1.2,0,0.2,38.7,9.1,3,4.4,24.7,24.9,2.9,5,21.1,13.9,11.87551188,14.66011466,2.866502867,2.702702703,0.737100737,0.327600328,2.211302211,0.327600328,3.767403767,35.62653563,0.737100737,112.9,1.9,2.6,5.6,7,77.6,5
E01000002,City of London 001B,City of London,1436,528750,66300,4.18,2.3,0.91,2.09,0.49,0.77,0.7,2.79,6.41,27.37,25.28,8.01,11.98,4.46,1.25,1.04,14.7,35.66,4.7,15.54,7.95,1.45,8.92,2.41,0.12,1.57,1.08,0.84,0.24,0.72,4.1,22.05,98.19,1.7,3.8,37.83,25.66,0.96,5.3,0.48,24.82,1.57,85.04,0.1,0.1,3.48,93.95,0.2,2.15,18.79,45.82,22.75,6.7,1.32,0.88,1.98,0.33,1.43,77.42,43.31,32.78,6.94,7.11,1.25,1.92,0.75,0.92,5.02,58,35.3,4.6,1.6,0.6,72.98050139,1.183844011,9.26183844,1.601671309,1.880222841,5.77994429,3.690807799,0.208913649,3.064066852,88.7,3.8,6.6,0.3,975,837500,9.641025641,45.2,0.9,1.5,1.5,0.3,0.1,0.4,40.4,9.7,3.6,3.5,26.7,25.3,3.2,5.3,22,10.4,12.45819398,15.46822742,3.511705686,1.839464883,1.003344482,0.501672241,2.006688963,0.08361204,4.682274247,33.69565217,0.836120401,62.9,2.3,3.2,5.5,7,79.2,2.4
E01000003,City of London 001C,City of London,1346,335000,54140,3.94,1.04,0.59,1.78,0.37,2.45,2.53,5.72,10.7,26.89,19.61,5.5,8.47,7.5,2.01,0.89,20.07,41.98,2.94,7.47,4.41,0.98,7.34,1.84,0.37,4.04,1.96,0.61,0.73,0.37,4.9,45.04,97.18,1.5,2.8,22.52,17.5,0.12,29.25,6.85,20.32,1.35,92.11,0,0,0.34,98.87,0.34,0.45,11.65,37.3,23.95,8.77,2.49,4.71,3.8,1.44,5.89,74.59,25.23,29.22,9.17,5.99,3.45,6.17,4.45,4.63,11.71,80.2,18.1,1.3,0.2,0.1,67.53343239,1.560178306,9.509658247,2.303120357,3.789004458,8.989598811,2.600297177,1.411589896,2.228826152,78.4,4.1,12.5,3.3,886,710000,2.990970655,44.2,1.5,2.2,2.4,4.1,0.5,0.4,34.6,10.1,2.6,6.2,32.1,18.1,2.5,7.5,22.1,9,7.168784029,13.52087114,3.448275862,6.170598911,0.181488203,0.362976407,2.631578947,0.090744102,6.170598911,28.76588022,0.816696915,227.7,13,6.5,8.9,7.5,56.8,5.7
E01000005,City of London 001E,City of London,985,300000,46740,4.26,3.86,2.23,4.97,1.32,1.83,1.73,9.85,12.39,21.52,18.78,4.37,8.02,3.76,0.61,0.51,13.06,35.76,1.71,5.78,10.49,2.57,4.07,2.57,0.21,6,3.43,3.21,1.07,1.5,8.57,44.33,98.07,2.1,3.3,5.14,4.71,0,28.48,38.33,19.7,1.93,88.45,0.19,0.19,0,93.56,2.08,3.98,10.29,17.02,18.91,13.45,6.51,6.93,6.93,5.46,14.5,68.56,11.51,22.25,9.18,5.56,6.99,12.94,8.54,12.42,10.61,76.2,21.4,1.9,0.4,0,60.7106599,1.319796954,7.614213198,1.421319797,6.700507614,14.61928934,1.624365482,5.076142132,0.913705584,51.4,6,27.8,10.2,528,618000,1.704545455,41.4,1.1,1,4.1,27.7,0.4,0.5,17.8,6,4,8.6,32.1,13.2,4,7.4,24.8,5.9,4.527813713,13.84217335,5.304010349,9.702457956,0.129366106,0.129366106,3.234152652,0.258732212,4.139715395,20.18111255,0.129366106,52,24.4,8.2,11.2,9.5,34.5,11.4
E01000006,Barking and Dagenham 016A,Barking and Dagenham,1703,232500,38200,9.04,4.46,2.7,5.87,1.06,2,1.82,7.57,12.68,27.48,14.27,3.23,4.4,2.52,0.53,0.35,4.42,13.44,3.5,9.21,22.47,5.71,2.76,3.13,0.55,6.08,3.87,10.31,1.1,0.92,12.52,19.15,96.13,3.1,5.1,25.05,38.49,0,2.03,1.29,30.02,2.76,97.31,5.73,15.41,53.23,21.86,3.41,0.36,7.68,17.93,9.86,10.37,13.19,9.35,8.96,9.35,13.32,69.86,8.71,17.43,9.35,13.11,5.04,12.23,7.75,13.03,13.35,34.3,45.9,16,2.6,1.3,48.67880211,0.29359953,12.97709924,1.115678215,6.341749853,28.59659425,1.585437463,0.176159718,0.234879624,32.7,3.4,50.6,10.4,558,405000,3.166069295,36.3,0.1,8.6,0.2,35.9,5.4,0.4,8,5.1,4.7,10.2,35.6,7.9,4.6,11.5,21.8,3.6,4.876099121,20.4636291,8.393285372,4.476418865,0.159872102,0.079936051,17.74580336,0.799360512,0.559552358,4.716227018,0.159872102,116.2,18.2,11.8,12.9,8.8,32.9,13.8
E01000007,Barking and Dagenham 015A,Barking and Dagenham,1391,126000,32940,12.29,4.31,1.65,4.67,1.01,2.73,6.4,9.27,11.43,29.98,9.49,2.59,2.44,1.22,0.36,0.14,6.54,34.8,0.65,6.21,14.87,0.65,6.21,2.78,0,10.29,1.8,6.7,1.31,0,7.19,49.35,97.06,2.3,3.3,4.08,15.36,2.61,21.41,19.28,32.03,4.25,97.61,2.23,2.71,8.13,81.66,3.03,2.23,8.73,16.97,10.21,11.04,10.38,8.9,11.7,6.92,15.16,70.7,6.87,15.38,9.09,8.22,5.51,14.31,8.03,13.64,18.96,62.9,30.2,6.2,0.5,0.2,45.43493889,0.718907261,9.777138749,3.163191948,15.31272466,22.8612509,1.797268152,0.790797987,0.143781452,31.6,6.3,32.1,28,619,202500,2.073236403,42.5,1,8,0.3,28.1,1.1,0.6,11.6,6.8,4,8.7,39.2,6.3,4.1,11.9,24.1,1.8,2.707930368,19.92263056,8.510638298,6.576402321,0.193423598,0.096711799,14.11992263,1.063829787,0,5.222437137,0.290135397,69.5,15.2,13.7,12.4,9.1,32.3,16.6
E01000008,Barking and Dagenham 015B,Barking and Dagenham,1544,148000,31430,11.33,6.48,3.89,9.46,1.36,2.78,2.33,8.23,13.02,24.68,12.37,1.49,1.36,1.04,0.19,0,2.3,22.46,0.38,4.61,15.93,2.69,1.92,3.45,0.96,18.04,4.8,9.79,0.96,0,11.71,31.48,97.31,3,4.3,4.61,12.28,0.19,63.92,2.69,14.4,0.77,97.57,1.31,2.06,5.62,90.45,0.56,0,5.5,11.56,7.16,7.52,10.09,11.19,12.84,8.81,25.32,68.04,4.01,10.65,6.74,8.21,5.47,15.54,11.34,18.87,19.16,58.5,33.4,6.5,0.8,0.8,47.79792746,0.647668394,6.735751295,4.792746114,23.05699482,15.15544041,1.554404145,0.259067358,0,31.4,5.4,22.6,37.2,533,187500,1.344590369,44.5,0.1,2.3,0.1,33.9,1,0.1,13.1,4.9,5.7,12.3,35.4,6.4,5.3,15.2,18.2,1.5,2.737047898,16.91104594,6.060606061,8.308895406,0,0.097751711,12.60997067,0.684261975,0.488758553,4.887585533,0.488758553,79.1,21.1,14.9,13.1,8.4,24.2,17.2
E01000009,Barking and Dagenham 016B,Barking and Dagenham,1773,248000,35230,8.8,2.93,1.58,3.44,0.79,1.92,1.97,9.81,15.79,24.31,14.78,3.67,5.41,3.55,0.73,0.51,10.03,19.91,2.66,7.21,14.58,6.74,2.66,0.47,0.16,6.74,3.29,10.03,2.35,0,13.17,32.29,96.71,2.8,4.4,18.18,21.94,0.63,18.65,1.88,34.64,3.45,96.81,5.31,8.8,36.12,37.94,8.19,3.64,8.06,18.34,12.09,10.27,8.58,7.02,11.7,7.8,16.12,65.8,7.92,15.83,10.68,6.9,5.37,12.78,8.71,15.18,16.63,52.7,37.1,7.8,1.9,0.5,41.39875917,0.394811055,6.937394247,1.974055274,8.347433728,37.95826283,2.086858432,0.507614213,0.394811055,23.8,3.5,57.1,12.9,657,238000,2.562151192,29,0.2,12.9,0.1,37.9,7.3,0.3,6.1,6.1,6.1,10.1,41.5,7.2,4,9.2,20.7,1.2,3.340595497,21.06027596,9.077705156,5.083514887,0.145243282,0.508351489,11.47421932,0.653594771,0.217864924,3.921568627,0.363108206,138.6,18.6,10.2,9.4,8.8,35,17.2
E01000010,Barking and Dagenham 015C,Barking and Dagenham,2840,143000,35190,11.2,4.79,2.43,3.7,0.81,1.58,1.62,11.58,18.73,30.42,8.38,1.8,1.9,0.77,0.18,0.11,2.9,20.49,0.63,12.87,18.86,2.27,6.26,2.18,0.18,9.88,2.81,6.62,3.54,0.09,10.43,56.84,95.65,2.6,3.4,5.53,17.04,1.63,15.14,10.97,46.6,2.63,93.55,1.95,2.71,9.16,77.27,2.04,6.79,7.31,27.28,11.68,10.55,6.63,7.69,9.72,4.37,14.77,69.57,12.37,18.76,8.75,7.18,5.09,9.73,7.23,12.97,17.92,74.2,22.6,3,0.3,0,35.77464789,0.774647887,12.3943662,3.063380282,12.42957746,33.23943662,1.232394366,0.774647887,0.281690141,28.6,5.2,42.4,20.4,1172,223000,4.408418657,38.1,1,16.1,0.2,26.2,2.4,0.5,10.8,4.7,4.6,8,42.3,5.9,3.6,8.9,23.7,3,3.844372395,26.54006484,13.15423807,6.299212598,0.092635479,0.231588698,6.808707735,0.694766095,0.741083835,2.918017601,0.138953219,80.7,12.2,7.7,9.7,7.7,44.9,16.6
E01000011,Barking and Dagenham 016C,Barking and Dagenham,1634,214000,34830,9,4.65,2.08,5.08,1.53,2.2,2.39,12.12,14.44,24.36,13.65,3,3.67,1.41,0.18,0.24,4.16,11.16,1.75,5.03,20.35,5.91,1.31,2.63,0,7,4.16,14.44,2.63,0.22,19.26,36.98,96.72,3.6,4.9,19.04,31.29,1.53,5.47,2.19,35.01,2.84,98.07,8.8,14.38,50.21,7.3,18.45,0.86,7.96,15.34,11.29,8.68,8.83,6.95,12.74,8.54,19.68,66.18,6.13,13.8,8.07,8.8,4.6,12.43,10.17,16.14,19.85,40.7,41.1,15.1,2.8,0.2,43.02325581,0.673194614,7.221542228,1.040391677,6.11995104,40.5752754,1.040391677,0.06119951,0.244798042,21.2,1.7,65.5,8.8,466,350000,2.467811159,25.8,0.7,6.8,0.3,48.2,7.7,0.3,6.1,4.1,8.5,16.9,37.8,4.1,4.3,8.8,16.8,2.7,4.03551251,17.43341404,7.425343019,8.07102502,0.08071025,0.1614205,13.23648103,0.807102502,0.484261501,3.87409201,0.1614205,178.2,18,12.4,13.3,8.4,29.6,17.3
