LSOA_Code,LSOA_Name,LADcode,Local_authority_name,pop_2001,pop_2011,Median_House_Prices_2001,Median_House_Prices_2011,All_cat_qual_2001,Level_4_qualifications_and_above_2001,All_cat_qual_2011,Level_4_qualifications_and_above_2011,All_categories_NS_SeC_2001,X1_Higher_managerial_administrative_and_professional_occupations_2001,All_categories_NS_SeC_2011,X1_Higher_managerial_administrative_and_professional_occupations_2011,Median_income_2001,Median_income_2011
E01000001,CityofLondon001A,E09000001,City of London,1600,1465,245424,497000,1423,1029,1350,1047,1424,563,1221,530,45630,65520
E01000002,CityofLondon001B,E09000001,City of London,1470,1436,235000,528750,1261,862,1293,1024,1262,480,1196,518,44970,66300
E01000003,CityofLondon001C,E09000001,City of London,1537,1346,190000,335000,1230,619,1242,706,1235,271,1102,278,36330,54140
E01000005,CityofLondon001E,E09000001,City of London,1073,985,137500,300000,763,239,821,283,763,86,773,89,31530,46740
E01000006,BarkingandDagenham016A,E09000002,Barking and Dagenham,1571,1703,60000,232500,1160,261,1309,431,1164,84,1251,109,26360,38200
E01000007,BarkingandDagenham015A,E09000002,Barking and Dagenham,1485,1391,75248,126000,1065,193,1058,342,1064,54,1034,71,22310,32940
E01000008,BarkingandDagenham015B,E09000002,Barking and Dagenham,1405,1544,60500,148000,940,148,1042,252,938,37,1023,41,22010,31430
E01000009,BarkingandDagenham016B,E09000002,Barking and Dagenham,1529,1773,108498,248000,1105,254,1462,511,1101,90,1377,109,25010,35230
E01000010,BarkingandDagenham015C,E09000002,Barking and Dagenham,1442,2840,90000,143000,1018,218,2189,982,1015,57,2159,267,22740,35190
E01000011,BarkingandDagenham016C,E09000002,Barking and Dagenham,1392,1634,105000,214000,1000,242,1269,375,1007,59,1239,76,24080,34830
E01000012,BarkingandDagenham015D,E09000002,Barking and Dagenham,1380,1901,55000,115000,1007,211,1332,441,1008,71,1324,72,23830,33780
E01000013,BarkingandDagenham013A,E09000002,Barking and Dagenham,1495,1660,77500,161000,1052,56,1245,211,1054,33,1134,42,22480,33190
E01000014,BarkingandDagenham013B,E09000002,Barking and Dagenham,1521,1656,73000,164500,1052,45,1253,179,1054,29,1170,51,22980,32850
E01000015,BarkingandDagenham009A,E09000002,Barking and Dagenham,1555,2241,78000,151000,1066,64,1570,279,1066,31,1493,45,22400,32520
E01000016,BarkingandDagenham009B,E09000002,Barking and Dagenham,1636,1637,76498,164000,1143,66,1216,176,1146,39,1120,43,22880,33720
E01000017,BarkingandDagenham009C,E09000002,Barking and Dagenham,1578,1594,77250,173750,1047,69,1191,235,1045,21,1108,48,22440,33120
E01000018,BarkingandDagenham009D,E09000002,Barking and Dagenham,1515,1597,83250,160000,1046,47,1168,197,1048,40,1085,61,22850,33750
E01000019,BarkingandDagenham023A,E09000002,Barking and Dagenham,1452,1407,80000,190000,966,84,1030,207,969,43,970,35,23550,33990
E01000020,BarkingandDagenham023B,E09000002,Barking and Dagenham,1614,1834,81000,180000,1069,107,1357,279,1071,49,1226,47,22870,34070
E01000021,BarkingandDagenham008A,E09000002,Barking and Dagenham,1528,1579,79500,165000,1049,158,1196,268,1053,46,1141,52,23640,31980
E01000022,BarkingandDagenham008B,E09000002,Barking and Dagenham,1432,1314,74995,172500,972,112,964,177,975,48,899,36,24070,34440
E01000023,BarkingandDagenham008C,E09000002,Barking and Dagenham,1237,1112,67750,181995,1018,222,881,253,1021,50,825,60,24410,34270
E01000024,BarkingandDagenham008D,E09000002,Barking and Dagenham,1340,1336,78000,180000,923,84,970,174,921,30,912,32,23710,33810
E01000025,BarkingandDagenham008E,E09000002,Barking and Dagenham,1578,1609,75000,190000,1061,78,1218,196,1062,31,1139,54,23130,33790
E01000027,BarkingandDagenham001A,E09000002,Barking and Dagenham,1587,1709,89998,180000,992,55,1241,178,989,20,1088,54,21730,32750
E01000028,BarkingandDagenham001B,E09000002,Barking and Dagenham,1456,1549,83998,142500,974,87,1133,232,972,43,995,37,22570,31780
E01000029,BarkingandDagenham001C,E09000002,Barking and Dagenham,1624,1602,107500,244500,1119,141,1314,272,1118,59,1068,72,26080,35540
E01000030,BarkingandDagenham001D,E09000002,Barking and Dagenham,1570,1915,59500,160000,1037,88,1336,232,1041,36,1209,60,21800,31830
E01000031,BarkingandDagenham002A,E09000002,Barking and Dagenham,1501,1617,117000,176500,1094,160,1264,315,1094,62,1157,104,28030,38150
