LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,Proximity_to_InnerBoroughs
E01000001,City of London 001A,E09000001,City of London,0
E01000002,City of London 001B,E09000001,City of London,0
E01000003,City of London 001C,E09000001,City of London,0
E01000005,City of London 001E,E09000001,City of London,0
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,1059.179475
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,277.5377495
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,0
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,876.5669856
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,168.9577093
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,660.7384171
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,102.3707855
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,3781.73668
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,3370.140385
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,4389.296454
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,4480.068056
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,4365.795319
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,4394.396599
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,3371.983271
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,3605.054563
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,3139.436126
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,3352.351224
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,2624.228846
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,3292.113552
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,2988.011784
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,5679.785146
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,5175.437967
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,5150.44621
