2011 census lower super output areas,2011 super output area - lower layer,dwellings_2001,dwellings_2006,conversion_counts,conversion_rates,newbuilt_counts,newbuilt_rates
E01000001,City of London 001A,1128,1049,1,0.953288847,0,0
E01000002,City of London 001B,1047,947,1,1.055966209,2,2.111932418
E01000003,City of London 001C,932,914,0,0,0,0
E01000005,City of London 001E,575,575,0,0,5,8.695652174
E01000006,Barking and Dagenham 016A,624,539,2,3.710575139,1,1.85528757
E01000007,Barking and Dagenham 015A,662,663,2,3.016591252,3,4.524886878
E01000008,Barking and Dagenham 015B,533,527,0,0,1,1.897533207
E01000009,Barking and Dagenham 016B,610,646,3,4.643962848,2,3.095975232
E01000010,Barking and Dagenham 015C,596,621,2,3.220611916,7,11.27214171
E01000011,Barking and Dagenham 016C,468,461,3,6.507592191,0,0
E01000012,Barking and Dagenham 015D,625,606,1,1.650165017,1,1.650165017
E01000013,Barking and Dagenham 013A,632,634,2,3.154574132,3,4.731861199
E01000014,Barking and Dagenham 013B,671,673,1,1.485884101,0,0
E01000015,Barking and Dagenham 009A,634,598,2,3.344481605,0,0
E01000016,Barking and Dagenham 009B,665,625,1,1.6,0,0
E01000017,Barking and Dagenham 009C,649,643,1,1.555209953,0,0
E01000018,Barking and Dagenham 009D,620,629,0,0,0,0
E01000019,Barking and Dagenham 023A,558,536,0,0,0,0
E01000020,Barking and Dagenham 023B,655,654,0,0,0,0
E01000021,Barking and Dagenham 008A,618,522,2,3.831417625,0,0
E01000022,Barking and Dagenham 008B,516,484,0,0,0,0
E01000023,Barking and Dagenham 008C,429,399,0,0,2,5.012531328
E01000024,Barking and Dagenham 008D,487,471,1,2.123142251,0,0
E01000025,Barking and Dagenham 008E,644,645,0,0,0,0
E01000027,Barking and Dagenham 001A,646,650,2,3.076923077,6,9.230769231
E01000028,Barking and Dagenham 001B,668,599,0,0,1,1.669449082
E01000029,Barking and Dagenham 001C,744,697,0,0,2,2.869440459
